CIDR,Starting IP,Ending IP
94.10.216.0/21,94.10.216.0,94.10.223.255
94.10.224.0/19,94.10.224.0,94.10.255.255
94.11.0.0/21,94.11.0.0,94.11.7.255
94.11.8.0/22,94.11.8.0,94.11.11.255
94.11.16.0/20,94.11.16.0,94.11.31.255
94.11.32.0/19,94.11.32.0,94.11.63.255
94.11.64.0/18,94.11.64.0,94.11.127.255
94.11.128.0/17,94.11.128.0,94.11.255.255
94.12.0.0/16,94.12.0.0,94.12.255.255
94.13.0.0/21,94.13.0.0,94.13.7.255
94.13.12.0/22,94.13.12.0,94.13.15.255
94.13.20.0/22,94.13.20.0,94.13.23.255
94.13.24.0/21,94.13.24.0,94.13.31.255
94.13.32.0/19,94.13.32.0,94.13.63.255
94.13.64.0/18,94.13.64.0,94.13.127.255
94.13.128.0/17,94.13.128.0,94.13.255.255
94.14.0.0/18,94.14.0.0,94.14.63.255
94.14.64.0/19,94.14.64.0,94.14.95.255
94.14.96.0/21,94.14.96.0,94.14.103.255
94.14.108.0/22,94.14.108.0,94.14.111.255
94.14.112.0/20,94.14.112.0,94.14.127.255
94.14.128.0/17,94.14.128.0,94.14.255.255
94.15.0.0/18,94.15.0.0,94.15.63.255
94.15.64.0/20,94.15.64.0,94.15.79.255
94.15.80.0/21,94.15.80.0,94.15.87.255
94.15.88.0/22,94.15.88.0,94.15.91.255
94.15.96.0/19,94.15.96.0,94.15.127.255
94.15.128.0/20,94.15.128.0,94.15.143.255
94.15.148.0/22,94.15.148.0,94.15.151.255
94.15.152.0/21,94.15.152.0,94.15.159.255
94.15.160.0/19,94.15.160.0,94.15.191.255
94.15.192.0/21,94.15.192.0,94.15.199.255
94.15.200.0/22,94.15.200.0,94.15.203.255
94.15.208.0/20,94.15.208.0,94.15.223.255
94.15.224.0/20,94.15.224.0,94.15.239.255
94.15.240.0/21,94.15.240.0,94.15.247.255
94.15.248.0/22,94.15.248.0,94.15.251.255
94.192.0.0/15,94.192.0.0,94.193.255.255
94.194.4.0/22,94.194.4.0,94.194.7.255
94.194.8.0/21,94.194.8.0,94.194.15.255
94.194.16.0/20,94.194.16.0,94.194.31.255
94.194.32.0/19,94.194.32.0,94.194.63.255
94.194.64.0/20,94.194.64.0,94.194.79.255
94.194.80.0/21,94.194.80.0,94.194.87.255
94.194.92.0/22,94.194.92.0,94.194.95.255
94.194.96.0/19,94.194.96.0,94.194.127.255
94.194.128.0/17,94.194.128.0,94.194.255.255
94.195.0.0/16,94.195.0.0,94.195.255.255
149.241.48.0/20,149.241.48.0,149.241.63.255
149.241.64.0/18,149.241.64.0,149.241.127.255
149.241.128.0/17,149.241.128.0,149.241.255.255
151.224.0.0/17,151.224.0.0,151.224.127.255
151.224.128.0/18,151.224.128.0,151.224.191.255
151.224.196.0/22,151.224.196.0,151.224.199.255
151.224.200.0/22,151.224.200.0,151.224.203.255
151.224.208.0/20,151.224.208.0,151.224.223.255
151.224.224.0/19,151.224.224.0,151.224.255.255
151.225.0.0/16,151.225.0.0,151.225.255.255
151.226.0.0/16,151.226.0.0,151.226.255.255
151.227.0.0/20,151.227.0.0,151.227.15.255
151.227.16.0/21,151.227.16.0,151.227.23.255
151.227.28.0/22,151.227.28.0,151.227.31.255
151.227.32.0/19,151.227.32.0,151.227.63.255
151.227.64.0/18,151.227.64.0,151.227.127.255
151.227.128.0/17,151.227.128.0,151.227.255.255
151.228.0.0/16,151.228.0.0,151.228.255.255
151.229.0.0/17,151.229.0.0,151.229.127.255
151.229.132.0/22,151.229.132.0,151.229.135.255
151.229.136.0/21,151.229.136.0,151.229.143.255
151.229.144.0/20,151.229.144.0,151.229.159.255
151.229.160.0/19,151.229.160.0,151.229.191.255
151.229.192.0/18,151.229.192.0,151.229.255.255
151.230.0.0/16,151.230.0.0,151.230.255.255
151.231.0.0/17,151.231.0.0,151.231.127.255
151.231.128.0/18,151.231.128.0,151.231.191.255
151.231.192.0/19,151.231.192.0,151.231.223.255
151.231.224.0/20,151.231.224.0,151.231.239.255
151.231.240.0/21,151.231.240.0,151.231.247.255
176.24.0.0/20,176.24.0.0,176.24.15.255
176.24.16.0/21,176.24.16.0,176.24.23.255
176.24.24.0/22,176.24.24.0,176.24.27.255
176.24.32.0/19,176.24.32.0,176.24.63.255
176.24.64.0/18,176.24.64.0,176.24.127.255
176.24.128.0/17,176.24.128.0,176.24.255.255
176.25.0.0/16,176.25.0.0,176.25.255.255
176.26.0.0/20,176.26.0.0,176.26.15.255
176.26.16.0/21,176.26.16.0,176.26.23.255
176.26.28.0/22,176.26.28.0,176.26.31.255
176.26.32.0/19,176.26.32.0,176.26.63.255
176.26.64.0/22,176.26.64.0,176.26.67.255
176.26.72.0/21,176.26.72.0,176.26.79.255
176.26.80.0/20,176.26.80.0,176.26.95.255
176.26.96.0/20,176.26.96.0,176.26.111.255
176.26.112.0/22,176.26.112.0,176.26.115.255
176.26.120.0/21,176.26.120.0,176.26.127.255
176.26.128.0/17,176.26.128.0,176.26.255.255
176.27.0.0/21,176.27.0.0,176.27.7.255
176.27.12.0/22,176.27.12.0,176.27.15.255
176.27.16.0/20,176.27.16.0,176.27.31.255
176.27.32.0/20,176.27.32.0,176.27.47.255
176.27.48.0/22,176.27.48.0,176.27.51.255
176.27.56.0/21,176.27.56.0,176.27.63.255
176.27.64.0/18,176.27.64.0,176.27.127.255
176.27.128.0/19,176.27.128.0,176.27.159.255
176.27.160.0/21,176.27.160.0,176.27.167.255
176.27.172.0/22,176.27.172.0,176.27.175.255
176.27.176.0/20,176.27.176.0,176.27.191.255
176.27.192.0/19,176.27.192.0,176.27.223.255
176.27.224.0/20,176.27.224.0,176.27.239.255
176.27.240.0/21,176.27.240.0,176.27.247.255
176.27.248.0/22,176.27.248.0,176.27.251.255
176.248.0.0/17,176.248.0.0,176.248.127.255
176.248.128.0/19,176.248.128.0,176.248.159.255
176.248.160.0/20,176.248.160.0,176.248.175.255
176.248.180.0/22,176.248.180.0,176.248.183.255
176.248.184.0/21,176.248.184.0,176.248.191.255
176.248.192.0/18,176.248.192.0,176.248.255.255
176.249.4.0/22,176.249.4.0,176.249.7.255
176.249.8.0/21,176.249.8.0,176.249.15.255
176.249.16.0/20,176.249.16.0,176.249.31.255
176.249.32.0/19,176.249.32.0,176.249.63.255
176.249.64.0/18,176.249.64.0,176.249.127.255
176.249.128.0/20,176.249.128.0,176.249.143.255
176.249.148.0/22,176.249.148.0,176.249.151.255
176.249.152.0/21,176.249.152.0,176.249.159.255
176.249.160.0/19,176.249.160.0,176.249.191.255
176.249.192.0/19,176.249.192.0,176.249.223.255
176.249.224.0/20,176.249.224.0,176.249.239.255
176.249.240.0/21,176.249.240.0,176.249.247.255
176.249.248.0/22,176.249.248.0,176.249.251.255
176.250.0.0/21,176.250.0.0,176.250.7.255
176.250.8.0/22,176.250.8.0,176.250.11.255
176.250.16.0/20,176.250.16.0,176.250.31.255
176.250.32.0/19,176.250.32.0,176.250.63.255
176.250.64.0/19,176.250.64.0,176.250.95.255
176.250.96.0/22,176.250.96.0,176.250.99.255
176.250.104.0/21,176.250.104.0,176.250.111.255
176.250.112.0/20,176.250.112.0,176.250.127.255
176.250.128.0/18,176.250.128.0,176.250.191.255
176.250.192.0/19,176.250.192.0,176.250.223.255
176.250.228.0/22,176.250.228.0,176.250.231.255
176.250.232.0/21,176.250.232.0,176.250.239.255
176.250.240.0/20,176.250.240.0,176.250.255.255
176.251.0.0/17,176.251.0.0,176.251.127.255
176.251.128.0/20,176.251.128.0,176.251.143.255
176.251.148.0/22,176.251.148.0,176.251.151.255
176.251.152.0/21,176.251.152.0,176.251.159.255
176.251.160.0/19,176.251.160.0,176.251.191.255
176.251.192.0/21,176.251.192.0,176.251.199.255
176.251.204.0/22,176.251.204.0,176.251.207.255
176.251.208.0/20,176.251.208.0,176.251.223.255
176.251.224.0/19,176.251.224.0,176.251.255.255
176.252.4.0/22,176.252.4.0,176.252.7.255
176.252.8.0/22,176.252.8.0,176.252.11.255
176.252.20.0/22,176.252.20.0,176.252.23.255
176.252.28.0/22,176.252.28.0,176.252.31.255
176.252.32.0/21,176.252.32.0,176.252.39.255
176.252.40.0/22,176.252.40.0,176.252.43.255
176.252.48.0/20,176.252.48.0,176.252.63.255
176.252.68.0/22,176.252.68.0,176.252.71.255
176.252.72.0/21,176.252.72.0,176.252.79.255
176.252.80.0/20,176.252.80.0,176.252.95.255
176.252.96.0/20,176.252.96.0,176.252.111.255
176.252.112.0/22,176.252.112.0,176.252.115.255
176.252.120.0/22,176.252.120.0,176.252.123.255
176.252.128.0/21,176.252.128.0,176.252.135.255
176.252.136.0/22,176.252.136.0,176.252.139.255
176.252.144.0/20,176.252.144.0,176.252.159.255
176.252.160.0/19,176.252.160.0,176.252.191.255
176.252.192.0/19,176.252.192.0,176.252.223.255
176.252.224.0/20,176.252.224.0,176.252.239.255
176.252.244.0/22,176.252.244.0,176.252.247.255
176.252.248.0/21,176.252.248.0,176.252.255.255
176.253.0.0/20,176.253.0.0,176.253.15.255
176.253.16.0/22,176.253.16.0,176.253.19.255
176.253.24.0/21,176.253.24.0,176.253.31.255
176.253.32.0/19,176.253.32.0,176.253.63.255
176.253.68.0/22,176.253.68.0,176.253.71.255
176.253.72.0/21,176.253.72.0,176.253.79.255
176.253.84.0/22,176.253.84.0,176.253.87.255
176.253.88.0/21,176.253.88.0,176.253.95.255
176.253.96.0/21,176.253.96.0,176.253.103.255
176.253.112.0/20,176.253.112.0,176.253.127.255
176.253.132.0/22,176.253.132.0,176.253.135.255
176.253.136.0/21,176.253.136.0,176.253.143.255
176.253.144.0/20,176.253.144.0,176.253.159.255
176.253.160.0/22,176.253.160.0,176.253.163.255
176.253.168.0/21,176.253.168.0,176.253.175.255
176.253.176.0/20,176.253.176.0,176.253.191.255
176.253.192.0/19,176.253.192.0,176.253.223.255
176.253.224.0/21,176.253.224.0,176.253.231.255
176.253.236.0/22,176.253.236.0,176.253.239.255
176.253.244.0/22,176.253.244.0,176.253.247.255
176.253.248.0/21,176.253.248.0,176.253.255.255
176.254.0.0/19,176.254.0.0,176.254.31.255
176.254.32.0/21,176.254.32.0,176.254.39.255
176.254.40.0/22,176.254.40.0,176.254.43.255
176.254.48.0/22,176.254.48.0,176.254.51.255
176.254.56.0/21,176.254.56.0,176.254.63.255
176.254.64.0/19,176.254.64.0,176.254.95.255
176.254.100.0/22,176.254.100.0,176.254.103.255
176.254.104.0/21,176.254.104.0,176.254.111.255
176.254.112.0/20,176.254.112.0,176.254.127.255
176.254.128.0/18,176.254.128.0,176.254.191.255
176.255.0.0/18,176.255.0.0,176.255.63.255
176.255.64.0/19,176.255.64.0,176.255.95.255
176.255.96.0/20,176.255.96.0,176.255.111.255
176.255.112.0/21,176.255.112.0,176.255.119.255
176.255.124.0/22,176.255.124.0,176.255.127.255
176.255.128.0/19,176.255.128.0,176.255.159.255
176.255.160.0/21,176.255.160.0,176.255.167.255
188.220.0.0/17,188.220.0.0,188.220.127.255
188.220.156.0/22,188.220.156.0,188.220.159.255
188.220.180.0/22,188.220.180.0,188.220.183.255
188.221.0.0/16,188.221.0.0,188.221.255.255
188.222.0.0/18,188.222.0.0,188.222.63.255
188.222.64.0/19,188.222.64.0,188.222.95.255
188.222.96.0/22,188.222.96.0,188.222.99.255
188.222.104.0/21,188.222.104.0,188.222.111.255
188.222.112.0/20,188.222.112.0,188.222.127.255
188.222.128.0/17,188.222.128.0,188.222.255.255
188.223.0.0/16,188.223.0.0,188.223.255.255
