CIDR,Starting IP,Ending IP
90.195.252.0/22,90.195.252.0,90.195.255.255
90.196.160.0/22,90.196.160.0,90.196.163.255
90.197.224.0/22,90.197.224.0,90.197.227.255
90.199.56.0/22,90.199.56.0,90.199.59.255
90.199.160.0/22,90.199.160.0,90.199.163.255
90.201.120.0/22,90.201.120.0,90.201.123.255
90.201.132.0/22,90.201.132.0,90.201.135.255
90.201.208.0/22,90.201.208.0,90.201.211.255
90.203.224.0/22,90.203.224.0,90.203.227.255
90.205.212.0/22,90.205.212.0,90.205.215.255
90.207.96.0/22,90.207.96.0,90.207.99.255
90.207.196.0/22,90.207.196.0,90.207.199.255
90.208.120.0/22,90.208.120.0,90.208.123.255
90.209.224.0/22,90.209.224.0,90.209.227.255
90.216.196.0/22,90.216.196.0,90.216.199.255
90.217.80.0/22,90.217.80.0,90.217.83.255
90.217.236.0/22,90.217.236.0,90.217.239.255
90.218.92.0/22,90.218.92.0,90.218.95.255
90.218.164.0/22,90.218.164.0,90.218.167.255
90.220.52.0/22,90.220.52.0,90.220.55.255
90.222.24.0/22,90.222.24.0,90.222.27.255
93.96.80.0/22,93.96.80.0,93.96.83.255
93.96.96.0/21,93.96.96.0,93.96.103.255
94.1.196.0/22,94.1.196.0,94.1.199.255
94.2.88.0/22,94.2.88.0,94.2.91.255
94.2.148.0/22,94.2.148.0,94.2.151.255
94.3.64.0/22,94.3.64.0,94.3.67.255
94.3.164.0/22,94.3.164.0,94.3.167.255
94.4.172.0/22,94.4.172.0,94.4.175.255
94.5.28.0/22,94.5.28.0,94.5.31.255
94.5.40.0/22,94.5.40.0,94.5.43.255
94.5.80.0/22,94.5.80.0,94.5.83.255
94.5.108.0/22,94.5.108.0,94.5.111.255
94.5.160.0/22,94.5.160.0,94.5.163.255
94.5.208.0/22,94.5.208.0,94.5.211.255
94.7.88.0/22,94.7.88.0,94.7.91.255
94.7.120.0/22,94.7.120.0,94.7.123.255
94.9.220.0/22,94.9.220.0,94.9.223.255
94.10.100.0/22,94.10.100.0,94.10.103.255
94.10.160.0/22,94.10.160.0,94.10.163.255
94.10.172.0/22,94.10.172.0,94.10.175.255
94.10.212.0/22,94.10.212.0,94.10.215.255
94.11.12.0/22,94.11.12.0,94.11.15.255
94.13.8.0/22,94.13.8.0,94.13.11.255
94.13.16.0/22,94.13.16.0,94.13.19.255
94.14.104.0/22,94.14.104.0,94.14.107.255
94.15.144.0/22,94.15.144.0,94.15.147.255
94.15.204.0/22,94.15.204.0,94.15.207.255
94.15.252.0/23,94.15.252.0,94.15.253.255
94.15.254.0/24,94.15.254.0,94.15.254.255
94.194.0.0/22,94.194.0.0,94.194.3.255
94.194.88.0/22,94.194.88.0,94.194.91.255
151.224.192.0/22,151.224.192.0,151.224.195.255
151.224.204.0/22,151.224.204.0,151.224.207.255
151.227.24.0/22,151.227.24.0,151.227.27.255
151.229.128.0/22,151.229.128.0,151.229.131.255
176.24.28.0/22,176.24.28.0,176.24.31.255
176.26.24.0/22,176.26.24.0,176.26.27.255
176.26.68.0/22,176.26.68.0,176.26.71.255
176.26.116.0/22,176.26.116.0,176.26.119.255
176.27.8.0/22,176.27.8.0,176.27.11.255
176.27.52.0/22,176.27.52.0,176.27.55.255
176.27.168.0/22,176.27.168.0,176.27.171.255
176.249.0.0/22,176.249.0.0,176.249.3.255
176.249.144.0/22,176.249.144.0,176.249.147.255
176.250.224.0/22,176.250.224.0,176.250.227.255
176.251.200.0/22,176.251.200.0,176.251.203.255
176.252.0.0/22,176.252.0.0,176.252.3.255
176.252.24.0/22,176.252.24.0,176.252.27.255
176.252.240.0/22,176.252.240.0,176.252.243.255
176.253.20.0/22,176.253.20.0,176.253.23.255
176.253.64.0/22,176.253.64.0,176.253.67.255
176.253.80.0/22,176.253.80.0,176.253.83.255
176.253.104.0/22,176.253.104.0,176.253.107.255
176.253.128.0/22,176.253.128.0,176.253.131.255
176.253.164.0/22,176.253.164.0,176.253.167.255
176.253.232.0/22,176.253.232.0,176.253.235.255
176.254.44.0/22,176.254.44.0,176.254.47.255
176.254.52.0/22,176.254.52.0,176.254.55.255
176.254.96.0/22,176.254.96.0,176.254.99.255
188.222.100.0/22,188.222.100.0,188.222.103.255
2.120.20.0/22,2.120.20.0,2.120.23.255
2.120.24.0/21,2.120.24.0,2.120.31.255
2.120.44.0/22,2.120.44.0,2.120.47.255
2.120.52.0/22,2.120.52.0,2.120.55.255
2.120.56.0/21,2.120.56.0,2.120.63.255
2.120.64.0/22,2.120.64.0,2.120.67.255
2.120.72.0/21,2.120.72.0,2.120.79.255
2.120.88.0/21,2.120.88.0,2.120.95.255
2.120.96.0/19,2.120.96.0,2.120.127.255
2.120.140.0/22,2.120.140.0,2.120.143.255
2.120.144.0/22,2.120.144.0,2.120.147.255
2.120.152.0/21,2.120.152.0,2.120.159.255
2.120.160.0/20,2.120.160.0,2.120.175.255
2.120.176.0/21,2.120.176.0,2.120.183.255
2.120.196.0/22,2.120.196.0,2.120.199.255
2.120.200.0/21,2.120.200.0,2.120.207.255
2.120.208.0/20,2.120.208.0,2.120.223.255
